Symbol,KMeans_K2,KMeans_K4,DBSCAN,Agglomerative_K2,OneClassSVM_nu020,OneClassSVM_consensus
AAVE,0,0,0,0,-1,-1
ADA,0,0,1,0,-1,-1
ATOM,0,0,1,0,1,1
BNB,0,0,0,0,-1,-1
BTC,0,2,-1,0,-1,-1
CRO,0,0,1,0,1,1
DOGE,0,1,-1,0,-1,-1
DOT,0,0,-1,0,-1,-1
EOS,0,0,1,0,-1,-1
ETH,0,0,-1,0,-1,-1
LINK,0,0,1,0,-1,-1
LTC,0,0,1,0,1,1
MIOTA,0,0,1,0,1,1
SOL,0,0,0,0,-1,-1
SYN001,0,1,1,0,1,1
SYN002,0,1,1,0,-1,-1
SYN003,0,0,1,0,1,1
SYN004,0,0,1,0,1,1
SYN005,0,0,1,0,1,1
SYN006,0,0,1,0,1,1
SYN007,0,1,1,0,1,1
SYN008,0,0,1,0,1,1
SYN009,0,1,1,0,-1,-1
SYN010,0,0,1,0,1,1
SYN011,0,1,1,0,1,1
SYN012,0,1,1,0,1,1
SYN013,0,1,1,0,1,1
SYN014,0,1,1,0,1,1
SYN015,0,1,1,0,1,1
SYN016,0,0,1,0,-1,-1
SYN017,0,0,1,0,1,1
SYN018,0,1,1,0,1,1
SYN019,0,1,1,0,1,1
SYN020,0,0,1,0,1,1
SYN021,0,2,2,0,-1,-1
SYN022,0,1,1,0,1,1
SYN023,0,0,1,0,1,1
SYN024,0,1,1,0,1,1
SYN025,0,0,1,0,1,1
SYN026,0,2,-1,0,-1,-1
SYN027,0,1,1,0,1,1
SYN028,0,0,1,0,1,1
SYN029,0,0,1,0,1,1
SYN030,0,1,1,0,1,1
SYN031,0,0,1,0,1,1
SYN032,0,1,1,0,1,1
SYN033,0,1,1,0,1,1
SYN034,0,1,1,0,1,1
SYN035,0,0,1,0,1,1
SYN036,0,1,1,0,1,1
SYN037,0,0,1,0,1,1
SYN038,0,1,1,0,1,1
SYN039,0,1,1,0,1,1
SYN040,0,1,1,0,1,1
SYN041,0,1,1,0,1,1
SYN042,0,0,1,0,1,1
SYN043,0,1,1,0,1,1
SYN044,0,1,1,0,1,1
SYN045,0,0,1,0,1,1
SYN046,0,1,1,0,1,1
SYN047,0,1,1,0,1,1
SYN048,0,0,1,0,1,1
SYN049,0,0,1,0,1,1
SYN050,0,1,1,0,1,1
SYN051,0,1,1,0,1,1
SYN052,0,1,1,0,-1,-1
SYN053,0,1,1,0,1,1
SYN054,0,1,1,0,1,1
SYN055,0,1,1,0,1,1
SYN056,0,0,1,0,1,1
SYN057,0,0,1,0,1,1
SYN058,0,1,1,0,1,1
SYN059,0,1,1,0,1,1
SYN060,0,0,1,0,1,1
SYN061,0,1,1,0,1,1
SYN062,0,2,2,0,-1,-1
SYN063,0,1,1,0,1,1
SYN064,0,0,1,0,1,1
SYN065,0,1,1,0,1,1
SYN066,0,1,1,0,1,1
SYN067,0,0,1,0,1,1
SYN068,0,1,1,0,1,1
SYN069,0,1,1,0,1,1
SYN070,0,1,1,0,1,1
SYN071,0,1,1,0,-1,-1
SYN072,0,0,1,0,1,1
SYN073,0,0,1,0,1,1
SYN074,0,0,1,0,1,1
SYN075,0,1,1,0,1,1
SYN076,0,1,1,0,1,1
SYN077,0,1,1,0,1,1
SYN078,0,2,3,0,-1,-1
SYN079,0,0,1,0,1,1
SYN080,0,1,1,0,1,1
SYN081,0,1,1,0,1,1
SYN082,0,1,1,0,1,1
SYN083,0,0,1,0,1,1
SYN084,0,1,1,0,1,1
SYN085,0,2,2,0,-1,-1
SYN086,0,0,1,0,-1,-1
SYN087,0,1,1,0,-1,-1
SYN088,0,0,1,0,1,1
SYN089,0,1,1,0,1,1
SYN090,0,1,1,0,1,1
SYN091,0,1,1,0,1,1
SYN092,0,1,1,0,1,1
SYN093,0,0,1,0,-1,-1
SYN094,0,2,2,0,-1,-1
SYN095,0,1,1,0,1,1
SYN096,0,1,1,0,1,1
SYN097,0,1,1,0,1,1
SYN098,0,1,1,0,1,1
SYN099,0,1,1,0,1,1
SYN100,0,1,1,0,1,1
SYN101,0,1,1,0,1,1
SYN102,0,1,1,0,1,1
