Model,Type,CV_AUC_mean,CV_AUC_std,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,CV_R2_mean,CV_R2_std,Val_MAE,Val_RMSE,Val_MAPE,Val_R2,Test_MAE,Test_RMSE,Test_MAPE,Test_R2,N_Clusters,Silhouette,Davies_Bouldin,Calinski_Harabasz
LogisticRegression,Classification,0.52,0.0143,0.534,0.5002,0.5258,0.5127,0.5392,0.5463,0.4999,0.5261,0.5127,0.5494,,,,,,,,,,,,,,
RandomForestClassifier,Classification,0.5344,0.0167,0.5369,0.5019,0.9174,0.6488,0.5705,0.5479,0.5009,0.9041,0.6447,0.5896,,,,,,,,,,,,,,
XGBClassifier,Classification,0.5334,0.0157,0.5372,0.5046,0.4004,0.4465,0.5691,0.5501,0.505,0.419,0.458,0.5895,,,,,,,,,,,,,,
Ridge,Regression,,,,,,,,,,,,,0.4819,0.3968,0.016888,0.027121,176030.654,0.6962,0.016,0.025011,174531.5648,0.7031,,,,
RandomForestRegressor,Regression,,,,,,,,,,,,,0.8347,0.0433,0.009813,0.017303,57898.1618,0.8764,0.009262,0.016051,55537.4183,0.8777,,,,
XGBRegressor,Regression,,,,,,,,,,,,,0.8252,0.0491,0.009395,0.015587,59300.3339,0.8997,0.008762,0.013738,63604.888,0.9104,,,,
KMeans_K2,Clustering,,,,,,,,,,,,,,,,,,,,,,,2.0,0.9099,0.0605,149.8488
KMeans_K4,Clustering,,,,,,,,,,,,,,,,,,,,,,,4.0,0.4197,0.6832,197.4166
Agglomerative_K2,Clustering,,,,,,,,,,,,,,,,,,,,,,,2.0,0.9099,0.0605,149.8488
DBSCAN,Clustering,,,,,,,,,,,,,,,,,,,,,,,2.0,0.6532,0.5163,134.8324
